nx_date,nt_pool_fund_code,nt_security_name,nt_security_currency,nt_gti_code,nt_bloomberg_code,nt_yellow_key_code,nt_figi_code,nt_quotation_code,nt_quantity,nt_issuer_country_code,nt_second_quotation_currency,nt_underlying_security_name,nt_bloomberg_code_of_underlying
2023-12-28,NGT2754,,USD,P05,3617VQEU6,Mtge,BBG011F1LTV6,,1036690.26,US,,,
2024-02-19,NGT6144,TESLA INC,USD,S01,TSLA UW,Equity,BBG000N9P426,,255690,US,,,
2024-02-19,NGT6144,CHURCH & DWIGHT CO INC,USD,S01,CHD UN,Equity,BBG000BFJW57,6,282600,US,,,
2023-12-28,NGT2754,UK TSY GILT 1.625% 18-22/10/2071,GBP,B31,AS4623367,Govt,BBG00KTFMWZ7,,630000,GB,,,
2024-02-19,NGT6144,,USD,S01,FOX UW,Equity,BBG00JHNKKJ2,,212667,US,,,
2023-12-28,NGT2754,INTEREST RATE SWAP (C),GBP,IR,,,,,-204000000,FR,GBP,INTEREST RATE SWAP,
2023-12-22,NGT2754,INTEREST RATE SWAP (F),MXN,IR,,,,,459300000,DE,MXN,INTEREST RATE SWAP,
2024-02-27,NGT6144,OWENS CORNING,USD,S01,OC UN,Equity,BBG000M44Y70,,54963,US,,,
2023-12-22,NGT2754,,USD,B01,BS3888986,Corp,BBG013G03V20,3,600000,GB,,,
2024-02-21,NGT6144,LOWES COS INC,USD,S01,LOW UN,Equity,BBG000BNDQS4,,98004,US,,,
2023-12-27,NGT2754,,USD,B03,ZJ8848781,Corp,BBG01HHBHHB0,,600000,US,,,
2023-12-28,NGT2754,AGRICUL DEV BANK 3.06% 22-06/06/2032,CNY,B31,BW8938613,Govt,BBG017VQ6P27,,24000000,CN,,,
2024-02-27,NGT6144,TORONTO-DOMINION BANK,CAD,S01,TD CT,Equity,BBG000BCRN55,,352959,CA,,,
2024-02-22,NGT2754,RIVIAN AUTOMOTIVE INC-A,USD,S01,RIVN UW,Equity,BBG00741Y1N2,,263913,US,,,
2024-02-19,NGT6144,C.H. ROBINSON WORLDWIDE INC,USD,S01,CHRW UW,Equity,BBG000BTCSJ8,,78249,US,,,
2023-12-27,NGT2754,URW 4.125% 23-11/12/2030,EUR,B01,ZG5107112,Corp,BBG01KFCKST6,,600000,FR,,,
2024-02-22,NGT2754,,USD,S01,HSIC UW,Equity,BBG000BNMVX7,,169860,US,,,
2024-02-21,NGT6144,VESTAS WIND SYSTEMS A/S,DKK,S01,VWS DC,Equity,BBG000BJBK53,,172218,DK,,,
2023-12-28,NGT2754,DP WORLD CRESCEN 3.7495% 19-30/01/2030,USD,B01,ZR7663969,Corp,BBG00QDD55T1,,600000,KY,,,
2023-12-27,NGT2754,,KRW,B31,BT2695174,Govt,BBG014B72HV8,,1140000000,KR,,,
2024-02-15,NGT6144,,USD,S01,HD UN,Equity,BBG000BKZDM1,,120435,US,,,
2024-02-26,NGT6144,ORIENTAL LAND CO LTD,JPY,S01,4661 JT,Equity,BBG000HPZ220,,213000,JP,,,
2024-02-26,NGT6144,ILLINOIS TOOL WORKS,USD,S01,ITW UN,Equity,BBG000BMBNV1,,128769,US,,,
2024-02-21,NGT6144,YASKAWA ELECTRIC CORP,JPY,S01,6506 JT,Equity,BBG000BDCFJ1,,114900,JP,,,
2024-02-28,NGT6144,NITTO DENKO CORP,JPY,S01,6988 JT,Equity,BBG000BGP940,,66600,JP,,,
2023-12-27,NGT2754,PUT USD/JPY 05/08/2024 137.5,USD,O02,7250382,,,,56850000,US,USD,USD/JPY,536292
2024-02-21,NGT6144,T&D HOLDINGS INC,JPY,S01,8795 JT,Equity,BBG000BVF895,4,200700,JP,,,
2024-02-26,NGT6144,POOL CORP,USD,S01,POOL UW,Equity,BBG000BCVRT5,,28830,US,,,
2024-02-16,NGT6144,MARTIN MARIETTA MATERIALS,USD,S01,MLM UN,Equity,BBG000BGYPN3,,55782,US,,,
2023-12-28,NGT2754,VERIZON COMM INC 1.75% 20-20/01/2031,USD,B01,BM3903374,Corp,BBG00Y4Q8W68,,900000,US,,,
2024-02-27,NGT6144,,EUR,S01,CS FP,Equity,BBG000BC8029,,324852,FR,,,
2024-02-23,NGT6144,HUNT (JB) TRANSPRT SVCS INC,USD,S01,JBHT UW,Equity,BBG000BMDQK4,,61653,US,,,
2024-02-26,NGT6144,,CHF,S01,ALC SE,Equity,BBG00NPWGYL6,,146892,CH,,,
2023-12-22,NGT2754,,USD,B01,BW4685788,Corp,BBG017BT43S6,,150000,US,,,
2024-02-19,NGT2754,,JPY,S01,6506 JT,Equity,BBG000BDCFJ1,,114900,JP,,,
2023-12-28,NGT2754,LLOYDS BK GR PLC 23-21/09/2031 FRN,EUR,B03,ZI9663678,Corp,BBG01JFGTN94,,300000,GB,,,
2024-02-22,NGT6144,QUEST DIAGNOSTICS INC,USD,S01,DGX UN,Equity,BBG000BN85Z8,,54891,US,,,
2024-02-27,NGT6144,NOMURA RESEARCH INSTITUTE LT,JPY,S01,4307 JT,Equity,BBG000KPFN13,,349200,JP,,,
2024-02-19,NGT6144,COOPER COS INC/THE,USD,S01,COO UW,Equity,BBG000BG36M0,,59805,US,,,
2024-02-22,NGT6144,DNB BANK ASA,NOK,S01,DNB NO,Equity,BBG011M0SYC3,,505965,NO,,,
2024-02-16,NGT6144,DANAHER CORP,USD,S01,DHR UN,Equity,BBG000BH3LR0,,166716,US,,,
2024-02-20,NGT6144,LKQ CORP,USD,S01,LKQ UW,Equity,BBG000PXDRY8,,347580,US,,,
2023-12-27,NGT2754,,EUR,B03,,Corp,BBG01GVF4SC6,11,300000,ES,,,
2023-12-28,NGT2754,,USD,B01,AM6969076,Corp,BBG00G3YBZM2,,150000,US,,,
2023-12-27,NGT2754,AT&T INC 5.4% 23-15/02/2034,USD,B01,ZK8346676,Corp,BBG01GVH40L3,,300000,US,,,
2024-02-22,NGT6144,,USD,S01,LKQ UW,Equity,BBG000PXDRY8,,297243,US,,,
2023-12-22,NGT2754,INTEREST RATE SWAP (C),EUR,IR,,,,,-75600000,FR,EUR,INTEREST RATE SWAP,
2024-02-21,NGT2754,,USD,S01,SYF UN,Equity,BBG00658F3W5,,235056,US,,,
2023-12-27,NGT2754,INTEREST RATE SWAP (C),GBP,IR,,,,,-47700000,FR,GBP,INTEREST RATE SWAP,
2023-12-27,NGT2754,FR RB5139 2.5% 21-01/12/2041,USD,P05,3133KYV89,Mtge,BBG012D9JYX9,,1106917.297,US,,,
2024-02-21,NGT6144,DAVITA INC,USD,S01,DVA UN,Equity,BBG000MQ1VX1,,59262,US,,,
2023-12-22,NGT2754,PACKAGING CORP 5.7% 23-01/12/2033,USD,B01,ZG3877179,Corp,BBG01KBN8NH4,,279000,US,,,
2024-02-21,NGT6144,SONY GROUP CORP,JPY,S01,6758 JT,Equity,BBG000C26FH3,,241800,JP,,,
2024-02-15,NGT6144,BLACKROCK INC,USD,S01,BLK UN,Equity,BBG000C2PYL6,,39723,US,,,
2024-02-20,NGT6144,SHOPIFY INC - CLASS A,CAD,S01,SHOP CT,Equity,BBG008P8T6V8,,259068,CA,,,
2024-02-15,NGT6144,EDWARDS LIFESCIENCES CORP,USD,S01,EW UN,Equity,BBG000BRXR56,6,301323,US,,,
2024-02-16,NGT6144,,GBP,S01,CCH LN,Equity,BBG004HJRJ19,,41598,CH,,,
2024-02-23,NGT2754,ZOZO INC,JPY,S01,3092 JT,Equity,BBG000TW0FS3,,182400,JP,,,
2023-12-28,NGT2754,FNCL 2.5 1/15 2.5% 15-25/03/2044,USD,P09,01F022618,Mtge,BBG00BT1PRX8,,1800000,US,,,
2024-02-23,NGT6144,,USD,S01,CNC UN,Equity,BBG000BDXFR9,,103389,US,,,
2024-02-21,NGT6144,WOLTERS KLUWER,EUR,S01,WKL NA,Equity,BBG000BCHRW7,,37161,NL,,,
2024-02-20,NGT6144,KERING,EUR,S01,KER FP,Equity,BBG000BCB150,,15801,FR,,,
2024-02-26,NGT6144,MARKETAXESS HOLDINGS INC,USD,S01,MKTX UQ,Equity,BBG000BJC289,,14592,US,,,
2023-12-28,NGT2754,THAILAND GOVT 2.875% 16-17/06/2046,THB,B31,LW4217821,Govt,BBG00D2Y83S9,,12060000,TH,,,
2024-02-19,NGT6144,CAPITALAND INVESTMENT LTD/SI,SGD,S01,CLI SP,Equity,BBG01231SS06,,3957300,SG,,,
2024-02-22,NGT6144,ZOZO INC,JPY,S01,3092 JT,Equity,BBG000TW0FS3,,182400,JP,,,
2023-12-27,NGT2754,,EUR,B03,ZM4793893,Corp,BBG01CCNVYT8,11,300000,PT,,,
2024-02-15,NGT6144,AJINOMOTO CO INC,JPY,S01,2802 JT,Equity,BBG000BJ8MJ8,,247200,JP,,,
2023-12-28,NGT2754,CHINA EVERGRANDE 8.75% 17-28/06/2025,USD,B01,AO0636305,Corp,BBG00H0J8MN8,,9300000,CN,,,
2024-02-20,NGT6144,ORKLA ASA,NOK,S01,ORK NO,Equity,BBG000BDCCC5,,453738,NO,,,
2023-12-27,NGT2754,,USD,B01,ZP6427790,Corp,BBG00RHXVJQ5,,300000,US,,,
2023-12-22,NGT2754,,EUR,B31,BZ5062949,Govt,BBG019XMVH84,,4800000,BE,,,
2024-02-22,NGT6144,NXP SEMICONDUCTORS NV,USD,S01,NXPI UW,Equity,BBG000BNDGF0,,211605,NL,,,
2023-12-22,NGT2754,FN MA4640 3.5% 22-01/06/2037,USD,P05,31418EEN6,Mtge,BBG015WMR584,,1007079.872,US,,,
2024-02-16,NGT6144,,EUR,S09,HEN3 GY,Equity,BBG000BC3BJ2,,59196,DE,,,
2024-02-22,NGT6144,HASBRO INC,USD,S01,HAS UW,Equity,BBG000BKVWG0,,116364,US,,,
2024-02-16,NGT6144,MONCLER SPA,EUR,S01,MONC IM,Equity,BBG001MCDSD6,,158487,IT,,,
2023-12-27,NGT2754,,RON,B31,AU3524892,Govt,BBG00LWN0LJ0,,735000,RO,,,
2023-12-22,NGT2754,HUARONG FINANCE 4.25% 17-07/11/2027,USD,B01,AP8052692,Corp,BBG00J3QGMZ3,,1800000,VG,,,
2023-12-28,NGT2754,ISRAEL FIXED 2% 16-31/03/2027 FLAT,ILS,B31,AL0699770,Govt,BBG00F5JDWK2,,1104000,IL,,,
2023-12-27,NGT2754,,IDR,B31,EJ7740016,Govt,BBG004X8PQX6,,3690000000,ID,,,
2023-12-22,NGT2754,ENEL FIN INTL NV 5% 22-15/06/2032,USD,B01,BX0750584,Corp,BBG0180YY678,,600000,NL,,,
2024-02-20,NGT6144,,USD,S01,TT UN,Equity,BBG000BM6966,,80697,US,,,
2023-12-28,NGT2754,INTEREST RATE SWAP (C),USD,IR,,,,,-39600000,GB,USD,INFLATION LINKED SWAP,
2023-12-28,NGT2754,BRISTOL-MYERS 6.4% 23-15/11/2063,USD,B01,ZH8171295,Corp,BBG01JZ5BBD6,,168000,US,,,
2024-02-19,NGT6144,XYLEM INC,USD,S01,XYL UN,Equity,BBG00256TDP9,,135213,US,,,
2023-12-22,NGT2754,BELGIAN 0.4% 20-22/06/2040,EUR,B31,BG1378069,Govt,BBG00RRSQKT5,,930000,BE,,,
2023-12-28,NGT2754,KOREA TRSY BD 2.625% 18-10/03/2048 FLAT,KRW,B31,AR0503342,Govt,BBG00JYDH815,,1647000000,KR,,,
