nx_date,nt_trade_date,nt_accounting_date,nt_fund_code,nt_security_description,nt_security_currency,nt_gti_code,nt_quotation_name,nt_issuer_country_name,nt_bloomberg_code,nt_transaction_quantity,nt_transaction_price
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,AUTOMATIC DATA PROCESSING,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),ADP UW,3429,749.97
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,AUTO TRADER GROUP PLC,GBP,S01,SEATS LONDON,GREAT-BRITAIN,AUTO LN,6273,21.786
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,ZOZO INC,JPY,S01,TOKYO,JAPAN,3092 JT,28500,10194
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,SEIKO EPSON CORP,JPY,S01,TOKYO,JAPAN,6724 JT,44700,7284
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT6144,ZIMMER BIOMET HOLDINGS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),ZBH UN,2241,365.52
2/15/2024,2/15/2024 0:00:00,"Thursday, February 15",NGT6144,SCENTRE GROUP,AUD,S62,AUSTRALIAN S.E.,AUSTRALIA,SCG AT,4642578,0.2505
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,STERIS PLC,USD,S01,N.Y.S.E.,IRELAND,STE UN,14106,698.55
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT6144,GILEAD SCIENCES INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),GILD UW,5478,234.78
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,ACCIONA SA,EUR,S01,SIBE MERCADO CONTINUO,SPAIN,ANA SQ,1038,329.85
2/26/2024,2/26/2024 0:00:00,"Monday, February 26",NGT6144,LABORATORY CRP OF AMER HLDGS,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),LH UN,40032,2.16
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,AECOM,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),ACM UN,27789,264.33
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT6144,TESLA INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),TSLA UW,3777,566.58
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,ADMIRAL GROUP PLC,GBP,S01,LSE SETS,GREAT-BRITAIN,ADM LN,1527,74.55
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT6144,HOME DEPOT INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),HD UN,1248,1065.9
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,RENESAS ELECTRONICS CORP,JPY,S01,TOKYO,JAPAN,6723 JT,9300,7846.5
1/23/2024,1/23/2024 0:00:00,"Tuesday, January 23",NGT6144,CLOROX COMPANY,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CLX UN,89448,3.6
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,LOWES COS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),LOW UN,819,643.41
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT2754,NXP SEMICONDUCTORS NV,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),NETHERLANDS,NXPI UW,-633,718.5
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT2754,XYLEM INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),XYL UN,3822,337.32
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,SHERWIN-WILLIAMS CO/THE,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),SHW UN,11547,942.87
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,BUILDERS FIRSTSOURCE INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),BLDR UN,3843,550.98
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,CHURCH & DWIGHT CO INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CHD UN,40929,295.83
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,ALCON INC,CHF,S01,SIX Swiss Exchange,SWITZERLAND,ALC SE,24876,207.3
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT2754,DOLLARAMA INC,CAD,S01,TSX Toronto Stock Exchange,CANADA,DOL CT,5835,297.78
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,FACTSET RESEARCH SYSTEMS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),FDS UN,4371,1360.05
2/5/2024,2/2/2024 0:00:00,"Monday, February 5",NGT2754,TOKIO MARINE HOLDINGS INC,JPY,S01,TOKYO,JAPAN,8766 JT,16200,11388
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,POOL CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),POOL UW,393,1159.95
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,NOKIA OYJ,EUR,S01,HELSINKI,FINLAND,NOKIA FH,35124,9.702
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT2754,LKQ CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),LKQ UW,891,155.58
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,AXA SA,EUR,S01,EURONEXT PARIS,FRANCE,CS FP,4653,89.97
2/15/2024,2/15/2024 0:00:00,"Thursday, February 15",NGT2754,JM SMUCKER CO/THE,USD,S53,N.Y.S.E.,UNITED-STATES (U.S.A.),SJM UN,126261,3.18
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,COLES GROUP LTD,AUD,S01,AUSTRALIAN S.E.,AUSTRALIA,COL AT,5625,47.64
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,HILTON WORLDWIDE HOLDINGS IN,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),HLT UN,909,609.03
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT2754,ADOBE INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),ADBE UW,189,1612.71
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,FINECOBANK SPA,EUR,S01,EURONEXT MILAN,ITALY,FBK IM,3447,40.98
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,TOKIO MARINE HOLDINGS INC,JPY,S01,TOKYO,JAPAN,8766 JT,4200,11586
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,BERKELEY GROUP HOLDINGS/THE,GBP,S01,LSE SETS,GREAT-BRITAIN,BKG LN,966,143.55
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,SAGE GROUP PLC/THE,GBP,S01,LSE SETS,GREAT-BRITAIN,SGE LN,176976,35.235
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,SVENSKA HANDELSBANKEN-A SHS,SEK,S01,STOCKHOLM,SWEDEN,SHBA SS,21963,370.95
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,HARTFORD FINANCIAL SVCS GRP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),HIG UN,8370,272.43
2/5/2024,2/5/2024 0:00:00,"Monday, February 5",NGT2754,ASML HOLDING NV,EUR,S01,EURONEXT AMSTERDAM,NETHERLANDS,ASML NA,82869,4.35
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,PAYLOCITY HOLDING CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),PCTY UW,4161,520.35
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,RIVIAN AUTOMOTIVE INC-A,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),RIVN UW,14169,50.04
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,LKQ CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),LKQ UW,50337,150.96
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,HERMES INTERNATIONAL,EUR,S01,EURONEXT PARIS,FRANCE,RMS FP,84,5428.2
2/5/2024,2/2/2024 0:00:00,"Monday, February 5",NGT2754,NXP SEMICONDUCTORS NV,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),NETHERLANDS,NXPI UW,-2025,644.97
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT2754,TESLA INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),TSLA UW,2085,549.75
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT2754,OLD DOMINION FREIGHT LINE,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),ODFL UW,510,1293.39
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,DOLLARAMA INC,CAD,S01,TSX Toronto Stock Exchange,CANADA,DOL CT,2046,315.69
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,AMERICAN WATER WORKS CO INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),AWK UN,1908,378.78
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,HENKEL AG & CO KGAA VOR-PREF,EUR,S09,XETRA FRANKFURT,GERMANY,HEN3 GY,8019,213.78
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,BOC HONG KONG HOLDINGS LTD,HKD,S01,HONG KONG,HONG KONG,2388 HK,295500,59.64
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,BOOKING HOLDINGS INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),BKNG UW,48,10471.86
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,WOLTERS KLUWER,EUR,S01,EURONEXT AMSTERDAM,NETHERLANDS,WKL NA,327,441.9
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,HUNT (JB) TRANSPRT SVCS INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),JBHT UW,1188,646.74
1/19/2024,1/18/2024 0:00:00,"Friday, January 19",NGT2754,EDWARDS LIFESCIENCES CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),EW UN,939,223.32
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT2754,ELEVANCE HEALTH INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),ELV UN,891,1486.29
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,DOLLARAMA INC,CAD,S01,TSX Toronto Stock Exchange,CANADA,DOL CT,48564,312.45
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,FASTENAL CO,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),FAST UW,11484,210.06
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,AGNICO EAGLE MINES LTD,CAD,S01,TSX Toronto Stock Exchange,CANADA,AEM CT,2061,198.06
